year,iso_j,iso_i,X_ij_G,X_ij_H,X_ij_L,Y_G_i,Y_H_i,Y_L_i,Y_G_j,Y_H_j,Y_L_j,X_ji_G,X_ji_H,X_ji_L,gdp_lcu_i,gdp_lcu_j,rgrowth_i,rgrowth_j,employmentH_i,employmentL_i,NH_hat_i,NL_hat_i,employmentH_j,employmentL_j,NH_hat_j,NL_hat_j,pair,alpha_rank,country_i,er_i,country_j,er_j,ppi_G_i,ppi_H_i,ppi_L_i,ppi_G_j,ppi_H_j,ppi_L_j,M_i_G,M_i_H,M_i_L,M_j_G,M_j_H,M_j_L,X_i_G,X_i_H,X_i_L,X_j_G,X_j_H,X_j_L,Y_G_usd_i,Y_H_usd_i,Y_L_usd_i,Y_G_usd_j,Y_H_usd_j,Y_L_usd_j,X_ii_G,X_ii_H,X_ii_L,X_jj_G,X_jj_H,X_jj_L,worldppi,gdp_usd_world,va_usd_i,va_usd_j,va_usd_world,gdp_usd_i,gdp_usd_j,hr_G,ln_hr_G,hr_H,ln_hr_H,hr_L,ln_hr_L,betaNHG_i,betaNLG_i,betaNHH_i,betaNLH_i,betaNHL_i,betaNLL_i,betaKG_i,betaKH_i,betaKL_i,betaIGG_i,betaIGH_i,betaIGL_i,betaIHG_i,betaIHH_i,betaIHL_i,betaILG_i,betaILH_i,betaILL_i,betaNHG_j,betaNLG_j,betaNHH_j,betaNLH_j,betaNHL_j,betaNLL_j,betaKG_j,betaKH_j,betaKL_j,betaIGG_j,betaIGH_j,betaIGL_j,betaIHG_j,betaIHH_j,betaIHL_j,betaILG_j,betaILH_j,betaILL_j,io_year_i,io_year_j,date,betaNHG_world,betaNHH_world,betaNHL_world,betaNLG_world,betaNLH_world,betaNLL_world,betaKG_world,betaKH_world,betaKL_world,betaIGG_world,betaIGH_world,betaIGL_world,betaIHG_world,betaIHH_world,betaIHL_world,betaILG_world,betaILH_world,betaILL_world,C_G_j,I_G_j,C_H_j,I_H_j,C_L_j,I_L_j,code_i,code_j
2002,MEX,AUS,247.44955,0.25302459,61.108057,544588.02,329629.99,630735.73,5600795.4,1576804.6,4196391.5,295.39099,0.04591128,10.39932,1504953.7,11373991,0.11228205,0.03785128,4953892.5,4413010.4,1.0333001,1.017921,20190016,20768058,1.0310799,1.0119923,AUSMEX,1,australia,0.543903,mexico,0.103766,114.20754,120.6329,110.02908,211.15238,295.66803,259.86913,66931.357,6204.2247,12590.112,160495.37,3867.9952,3906.136,62625.234,6625.962,13179.677,139600.98,1869.1,23545.255,296203.06,179286.74,343059.05,581172.14,163618.7,435442.76,233577.82,172660.78,329879.38,441571.15,161749.6,411897.5,234.20142,62263779,386739.56,682132.38,31978701,818548.85,1180233.6,371.72905,5.9181652,0.10431958,-2.2602962,28.168823,3.3382158,0.08348903,0.07437342,0.22863334,0.20367041,0.12329198,0.10983056,0.19497114,0.17255273,0.27345619,0.19756553,0.0456801,0.09605739,0.02495064,0.1060933,0.07651994,0.06900552,0.06378551,0.12289789,0.06231696,0.0641011,0.19198708,0.19748369,0.10498924,0.10799509,0.29245555,0.36311281,0.51169863,0.0422716,0.0044246,0.01113162,0.006863,0.0101403,0.00800246,0.00951235,0.00758627,0.01006998,2002,2002,147,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,169146.47,145426.31,92403.148,608.96548,287553.35,11028.475,1,7
2003,MEX,AUS,332.89242,0.33785641,65.59717,578533.46,355342.11,667508.67,6058461.8,1754812.2,4612068.6,231.21821,0,12.712542,1601384.2,12425343,0.27532615,-0.0234561,5058786.7,4460043.7,1.0211741,1.0106579,20819124,20836795,1.0311593,1.0033097,AUSMEX,1,australia,0.651884,mexico,0.092758,116.97049,125.72448,112.24576,226.51137,326.23816,278.73683,80026.152,7966.4044,15245.891,161694.36,4198.4629,4147.4124,69325.518,8724.2119,17523.181,143852.48,1804.0107,22536.412,377136.71,231641.83,435138.22,561970.8,162772.87,427806.26,307811.19,222917.62,417615.04,418118.32,160968.86,405269.85,258.54699,70209292,498551.98,664418.82,35758543,1043916.8,1152549.9,323.34814,5.7787296,0,0,28.447417,3.3480574,0.08294006,0.07312352,0.22986233,0.20265651,0.12431706,0.10960326,0.20105275,0.17490358,0.27894168,0.23716086,0.05703348,0.11038369,0.02854874,0.12880055,0.0899286,0.08205797,0.075526,0.14515999,0.06091774,0.06096945,0.18833135,0.1884912,0.10515668,0.10524593,0.29357965,0.37379604,0.51132188,0.03722432,0.00419567,0.01035395,0.00595986,0.0093101,0.00720923,0.00841246,0.00675874,0.00928529,2003,2003,148,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,161284.35,143748.94,91611.679,627.08954,280325.28,10887.68,1,7
2004,MEX,AUS,437.99509,0.41651651,58.66692,645632.88,378892.07,705855.43,7090888.2,1947917,5148211.3,286.70028,0,12.809908,1730380.4,14187017,0.22094203,0.09099894,5310262,4463483.4,1.0497106,1.0007712,22125813,20906645,1.0627639,1.0033522,AUSMEX,1,australia,0.736579,mexico,0.0886325,129.60735,131.95147,115.63508,251.04621,345.7503,298.90078,102255.33,8857.7763,20482.481,186306.49,4022.1497,4862.8796,91498.877,9806.7378,21448.678,166116.83,1857.7194,23164.125,475559.62,279083.94,519918.29,628483.15,172648.75,456298.84,384060.74,269277.2,498469.61,462366.32,170791.03,433134.72,282.05166,79623724,604453.03,724204.13,40119767,1274561.9,1257430.7,388.81393,5.9631009,0,0,25.554172,3.2408006,0.08145836,0.06846895,0.23731751,0.19947467,0.12994828,0.10922663,0.20106367,0.17466657,0.2741511,0.27729244,0.06289007,0.12211187,0.03235822,0.14297746,0.10185818,0.09467473,0.08377677,0.16422106,0.05745526,0.05428938,0.18602774,0.17577731,0.10416594,0.09842623,0.30702562,0.38646494,0.52462028,0.03562186,0.00397607,0.00976163,0.00572671,0.0091175,0.00690011,0.008076,0.00629572,0.00871244,2004,2004,149,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,173090.49,170259.54,95784.595,662.91302,298351.3,12133.333,1,7
2005,MEX,AUS,563.35479,0.59749728,80.699664,699966.58,409959.04,740404.11,7725652,2155309.7,5615658,419.72305,0,22.090309,1850329.7,15496620,0.10890127,0.13129336,5576134,4452741.9,1.0500676,0.99759347,23305896,20395938,1.0533351,0.97557201,AUSMEX,1,australia,0.763844,mexico,0.0917957,139.73821,138.93894,118.32316,267.19569,365.92551,315.98581,119311.57,9655.1765,22474.954,210679.87,4279.2331,4867.4423,114672.56,10872.206,23798.448,182728.47,2626.9251,32954.493,534665.27,313144.75,565553.23,709181.63,197848.16,515493.25,419992.71,302272.55,541754.79,526453.17,195221.24,482538.76,302.66475,87525634,676492.63,810142.75,43347211,1413363.3,1422523.1,544.41665,6.2997149,0,0,39.847537,3.6850606,0.0825163,0.06589221,0.24625677,0.19664482,0.13446431,0.10737455,0.21324829,0.17162675,0.27215513,0.28424429,0.06497079,0.12213253,0.03308956,0.14812981,0.1040212,0.09783298,0.08727051,0.16969446,0.05778376,0.05056892,0.18931263,0.16567519,0.10698988,0.09363119,0.2992897,0.40298071,0.51924785,0.03766928,0.00440878,0.01013787,0.00593592,0.00885881,0.0068766,0.00884417,0.00667071,0.00913888,2005,2005,150,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,196937.26,186716.47,108135.13,750.77888,329381.61,13560.98,1,7
2006,MEX,AUS,682.00737,0.53585059,78.720961,764824.49,459539.06,781874.3,8861838,2368293.7,6216492.3,484.14989,0,14.934712,2006237.9,17446624,0.06936365,0.12576426,5850820.6,4437300.4,1.0492611,0.99653216,25151473,20117204,1.0791893,0.98633389,AUSMEX,1,australia,0.75335,mexico,0.09179,145.97073,149.28576,123.84044,291.41034,381.06458,335.19975,128754.59,9966.7142,23053.841,240333.77,4149.0033,5636.2109,127105.45,10954.92,23854.13,216108.53,2604.4256,32782.949,576180.53,346193.75,589025,813428.11,217385.68,570611.83,449075.08,335238.83,565170.88,597319.58,214781.25,537828.88,328.74921,95929115,723227.1,912676.54,46869213,1511399.3,1601425.6,662.71736,6.4963486,0,0,33.448434,3.510005,0.08497186,0.06444321,0.24664493,0.18705712,0.14184184,0.10757377,0.20852855,0.18222908,0.26627632,0.28210843,0.06666645,0.11863745,0.03082874,0.1517883,0.09806695,0.09611285,0.08930107,0.16323814,0.05658641,0.04526018,0.19525128,0.15617017,0.1090403,0.08721501,0.31620694,0.40082765,0.52068018,0.03721682,0.00417599,0.00999844,0.00585924,0.00928434,0.00708504,0.0090343,0.0066619,0.00932745,2006,2006,151,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,212313.51,225492.38,117723.16,798.43901,364070.35,16026.691,1,7
2007,MEX,AUS,770.27248,0.73359128,116.04473,815845.53,501661.39,854334.19,9599696.9,2604797.3,6747461,589.8038,0,21.112052,2171841.1,18951955,0.20499015,0.08302053,6138502.3,4419899.7,1.0491695,0.99607853,26630406,19449710,1.058801,0.96681975,AUSMEX,1,australia,0.838561,mexico,0.0915144,149.59103,154.53846,130.36612,305.62832,402.45113,351.92106,158408.85,13594.074,31611.226,266771.09,4577.8032,6285.1145,151034.9,14047.101,30277.198,235433.81,2959.7598,37366.556,684136.24,420673.68,716411.33,878510.5,238376.46,617489.85,533101.34,406626.58,686134.13,643076.69,235416.71,580123.29,363.66499,1.09E+08,873935.04,993284.61,52756189,1821221.3,1734376.8,740.291,6.6070434,0,0,45.512801,3.8179936,0.08963136,0.06453718,0.25037483,0.18027714,0.14234511,0.10249261,0.20421734,0.18119912,0.27352458,0.31041696,0.07635922,0.13323144,0.03321828,0.17113713,0.11150999,0.10316191,0.10090628,0.18239904,0.05715967,0.04174698,0.20193975,0.14748817,0.11233572,0.08204521,0.32385288,0.40580357,0.52118795,0.03680018,0.00415113,0.00985887,0.00574083,0.00919797,0.00695666,0.00891906,0.00682238,0.00932492,2007,2007,152,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,233145.58,248296.87,129268.85,883.4211,392982.75,17743.301,1,7
2008,MEX,AUS,823.34169,0.78862931,78.150269,885554.68,556751.64,916642.5,10590559,2834636.2,7304808.3,882.8495,0,22.343002,2358948.8,20730004,0.10778763,0.08348825,6452368.2,4408844.5,1.0511307,0.99749877,29827871,19866501,1.1200682,1.0214292,AUSMEX,1,australia,0.855265,mexico,0.0906501,155.50239,162.08393,135.13336,341.41281,427.62184,368.80716,178261.91,13603.097,32114.498,282835.73,4519.313,7127.4694,194043.29,15616.708,33582.166,245895.55,2816.6822,35303.644,757383.92,476170.2,783972.25,960035.24,256960.06,662181.6,563340.63,460553.49,750390.08,714139.69,254143.38,626877.96,406.34299,1.23E+08,969504.51,1073095.2,58371736,2017526.4,1879176.9,959.92972,6.8668601,0,0,38.193016,3.6426527,0.09147866,0.06250653,0.25356479,0.17325851,0.14491053,0.09901605,0.20482366,0.18401135,0.27508057,0.31058966,0.08127406,0.13976837,0.03372374,0.17900545,0.11121704,0.10463544,0.10576419,0.18512049,0.05620429,0.0374342,0.20963872,0.13962739,0.11539501,0.07685748,0.33233778,0.40529367,0.51790195,0.03658958,0.00411898,0.00975799,0.00571314,0.00922334,0.00693954,0.00935741,0.00671607,0.00952776,2008,2008,153,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,257416.53,267505.94,138888.51,947.4993,420999.74,20393.618,1,7
2009,MEX,AUS,666.69733,0.69649991,42.138226,953909.74,589667.97,944588.14,9799211.6,2938866.7,7118530.3,467.77969,0,25.724314,2488165.9,19856609,-0.02410416,-0.21680503,6635211,4300209.7,1.0283373,0.97535981,30538943,18516657,1.0238392,0.93205425,AUSMEX,1,australia,0.791304,mexico,0.0741195,168.55432,166.31119,139.64111,339.51016,450.61387,377.00684,151413.36,12357.316,29050.415,209381.59,5667.9712,6287.0683,157015.91,14011.417,29669.157,194764.04,1822.4149,22621.838,754832.6,466606.62,747456.37,726312.67,217827.33,527621.91,597816.68,452595.21,717787.22,531548.63,216004.91,505000.07,418.92484,1.14E+08,951503.77,840456.7,55504276,1968895.6,1471761.9,526.5899,6.2664221,0,0,27.615817,3.3183887,0.0918874,0.05955125,0.25999427,0.16849952,0.14972357,0.09703425,0.22032311,0.18016585,0.27083928,0.30209518,0.07013697,0.11102042,0.03184988,0.16791703,0.10139402,0.10296905,0.0996972,0.16443661,0.05885744,0.03568699,0.21793874,0.13214265,0.12370386,0.07500528,0.31818152,0.40050776,0.51617736,0.02962972,0.00380936,0.00836643,0.00447731,0.00787563,0.00571569,0.00694408,0.00581094,0.00754351,2009,2009,154,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,205342.45,182650.02,118958.63,874.73778,341904.05,16902.367,1,7
2010,MEX,AUS,1150.1529,0.68416097,59.097981,1034708.3,636123.58,999150.09,10857770,3091032.4,7968449.6,695.62317,0,30.203291,2669982,21917252,0.24691515,0.17888622,6902739.7,4240559.9,1.0403195,0.98612861,32310737,17795209,1.0580175,0.96103791,AUSMEX,1,australia,0.919499,mexico,0.0791632,181.60625,170.53845,144.14885,337.60752,473.6059,385.20652,187229.28,15853.001,37007.613,271140.04,5821.8454,7441.6297,222616.35,16295.564,34821.363,255131.93,2272.7525,28880.611,951413.25,584914.99,918717.51,859535.85,244696.02,630807.97,728796.9,568619.43,883896.15,604403.92,242423.26,601927.36,441.05702,1.26E+08,1199482.2,991002.81,60349019,2455045.8,1735039.8,814.56396,6.7026529,0,0,34.864615,3.5514724,0.09133075,0.05610722,0.26068758,0.16014819,0.15039174,0.09239015,0.23800112,0.18902589,0.27538944,0.3417543,0.08128554,0.12604359,0.03553995,0.19663517,0.11682013,0.11781805,0.11696544,0.19123227,0.05114935,0.02817062,0.22273064,0.12266939,0.11529141,0.063497,0.33698992,0.40552348,0.53366541,0.03170479,0.00362157,0.00902411,0.00490002,0.00816143,0.00619906,0.0076003,0.00596882,0.00826081,2010,2010,155,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,239505.97,216085.83,135221.61,911.83924,406938.91,19461.015,1,7
2011,MEX,AUS,3048.8708,1.0378671,91.624077,1059802.8,665441.66,1030593.2,12246242,3294335.1,8652447.8,815.41981,0,34.593194,2755837.6,24193025,0.15867622,0.12649202,7163137.3,4168414.8,1.0377238,0.98298691,34283001,17103524,1.0610405,0.96113081,AUSMEX,1,australia,1.03221,mexico,0.0807881,194.65818,174.76571,148.6566,335.70488,496.59793,393.40621,236782.28,20166.942,47383.747,326629.8,6859.2963,8674.683,266449.83,19352.91,41015.462,307165.58,2647.6999,33811.907,1093939,686875.54,1063788.6,989350.64,266143.07,699014.82,827489.19,667522.63,1022773.1,682185.06,263495.37,665202.91,469.18224,1.42E+08,1393680.3,1117801.1,67396394,2844603.1,1954508.5,1431.6276,7.2665673,0,0,45.403315,3.8155851,0.09582402,0.05576247,0.26858895,0.15629886,0.15461155,0.08997246,0.2359773,0.18521347,0.27304287,0.37834777,0.09322723,0.14240967,0.03952831,0.22137917,0.13080691,0.1306686,0.1329127,0.21536624,0.04336586,0.02163489,0.22407365,0.11178861,0.11063353,0.05519421,0.36045387,0.41465266,0.54536318,0.03230224,0.00348658,0.00895278,0.00508076,0.0083661,0.00629264,0.00813206,0.00599306,0.0083828,2011,2011,156,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,271672.72,254461.1,147316.37,925.41439,449799.52,21178.343,1,7
1995,RoW,AUS,28903.924,3861.6411,8013.0935,391730.6,200193.81,422907.73,8677268.7,3089888.1,6611236.3,34993.954,4971.3972,8557.5456,1014832.1,18378393,0,0,3907204.2,4381615.8,1,1,7.77E+09,-7.38E+09,1,1,AUSRoW,1,australia,0.741497,RestOfWorld,1.2163271,100,100,100,100,100,100,52252.446,5456.6487,12780.04,1183538,107657.47,281802.68,56545.975,6755.7797,10623.548,1204261.6,95393.589,118927.58,290467.06,148443.11,313584.81,10554397,3758314.6,8041425.9,233921.09,141687.33,302961.26,9350135.5,3662921,7922498.3,100,55182309,352145.03,11135823,28492990,752494.98,22354138,201070.88,12.211413,22277.86,10.011349,42345.985,10.653629,0.08038988,0.0901508,0.21189472,0.23762292,0.11064116,0.12407518,0.18577453,0.14679985,0.27592057,0.25234238,0.04721107,0.15602027,0.03534949,0.13162215,0.12453076,0.08648835,0.08589378,0.17419226,401.47077,-381.3423,465.50582,-442.16683,380.97249,-361.87174,-19.757843,-22.702153,-18.500035,0.49874042,0.06413442,0.17751207,0.10162632,0.17146093,0.15297116,0.15513443,0.09656429,0.21192454,1995,1995,140,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,2683696.3,2182628.2,1931925.4,113937.04,4485468.8,304765.29,1,9
1996,RoW,AUS,32461.971,4233.7184,8331.7874,406505.07,207506.14,445320.18,9309454.3,3348973.5,7206496.5,36804.323,5656.176,9640.3958,1059331.4,19864924,0.10219907,0.05847946,4005243.1,4349306.9,1.0250918,0.99262626,7.92E+09,-7.53E+09,1.018855,1.0195834,AUSRoW,1,australia,0.782946,RestOfWorld,1.1911143,101.21665,102.02345,100.6154,114.64718,118.18986,114.38839,56507.783,6075.7261,13647.668,1187886.2,114269.59,302420.42,63406.58,7667.2029,12069.924,1259737.7,103979.49,124775.76,318271.52,162466.1,348661.66,11088624,3989010.2,8583761.1,254864.94,154798.9,336591.73,9828886.6,3885030.7,8458985.4,108.05823,56556389,391906.4,11773802,29146973,829399.27,23661396,214651.53,12.276771,24515.217,10.107049,44928.709,10.712832,0.08052785,0.08744546,0.2233364,0.24252174,0.1165897,0.12660515,0.183815,0.14602799,0.2745892,0.26424472,0.05113071,0.16870061,0.03532273,0.1325656,0.12799731,0.0876925,0.08921314,0.18379091,447.12344,-425.00971,492.24696,-467.90152,406.93363,-386.8076,-21.741329,-23.713001,-19.529379,0.48476395,0.06221243,0.17508136,0.09810811,0.17401185,0.1489968,0.15259419,0.0947225,0.21029654,1996,1996,141,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,2800856.3,2274797.7,2029746.7,125011.43,4806645,310361.22,1,9
1997,RoW,AUS,32610.014,4694.1818,9390.6904,425144.28,224640.29,469311.89,9773027.4,3602330.8,7656197.7,35596.864,5634.5587,9828.0624,1119096.5,21031556,0.00395345,-0.01078522,4134596.7,4342378.3,1.0322961,0.99840695,8.06E+09,-7.66E+09,1.0179104,1.0183784,AUSRoW,1,australia,0.744063,RestOfWorld,1.1129087,100.99125,102.93733,102.35172,205.5059,212.26924,185.45996,60522.116,6879.9382,15312.582,1200419.1,122413.32,329961.35,65944.671,7402.8733,12310.126,1248393.4,112596.92,126122.1,316334.13,167146.53,349197.61,10876488,4009065.4,8520649.2,250389.46,159743.66,336887.48,9628094.1,3896468.5,8394527.1,144.82972,56598550,394570.54,11609643,29078015,832678.26,23406202,211272.76,12.260905,25399.998,10.142504,47955.497,10.778029,0.08067766,0.08473207,0.22382085,0.23506883,0.11582506,0.12164578,0.18955303,0.14903816,0.27991722,0.26172303,0.05100591,0.14703805,0.03334475,0.13157943,0.11873117,0.0836036,0.08463121,0.17500052,487.93683,-464.01781,516.38191,-491.06849,427.59468,-406.63367,-23.547915,-24.688876,-20.366042,0.45069758,0.0592634,0.16491639,0.09282809,0.16668505,0.14248836,0.14036773,0.0902392,0.19859568,1997,1997,142,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,2760296.9,2254455.9,2022865.1,125490.21,4766081.6,312896.41,1,9
1998,RoW,AUS,29992.93,4326.3673,7615.8544,448093.3,246787.89,500111.94,9188896.1,3698937.5,7665787,29095.132,4634.9818,8533.0751,1194993.1,20553621,-0.09673411,-0.02952917,4289980.5,4351634.5,1.0375814,1.0021316,8.12E+09,-7.73E+09,1.0079848,1.0083157,AUSRoW,1,australia,0.629401,RestOfWorld,1.1051599,101.08283,104.86378,103.06195,252.1967,270.75048,228.79455,55993.49,5971.6418,12859.444,1166185.8,122949.33,320194.62,54421.96,6263.8454,10860.614,1249572.3,117094.16,125225.4,282030.37,155328.54,314770.96,10155199,4087917.2,8471920.1,227608.41,149064.7,303910.34,8905627,3970823.1,8346694.7,164.85696,56060688,351456.97,11275173,28868950,752129.87,22715037,184781.17,12.126928,23112.056,10.04811,42247.073,10.65129,0.08102798,0.08219249,0.22671853,0.22997685,0.11593885,0.11760509,0.18484266,0.137609,0.27787605,0.22777653,0.04653098,0.12026629,0.02880749,0.11906913,0.10011058,0.07401979,0.07306736,0.14735606,604.98422,-575.51629,550.30723,-523.50254,519.16279,-493.87509,-29.100375,-26.1855,-24.696174,0.43914022,0.06273555,0.17156051,0.08870798,0.17321954,0.14269252,0.13326116,0.09529313,0.20110723,1998,1998,143,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,2618993.9,2067928,2004935.2,141141.58,4715039.8,305942.03,1,9
1999,RoW,AUS,35895.482,4914.633,9465.4841,466066.84,272193.97,524839.34,9648149.6,3929184.2,7914541.4,33742.266,5953.9354,11572.793,1263100.2,21491875,0.08374928,0.0170254,4465550.8,4367989.2,1.0409257,1.0037583,8.43E+09,-8.03E+09,1.0377187,1.0386262,AUSRoW,1,australia,0.645333,RestOfWorld,1.0749071,104.24433,107.41229,103.15044,270.74187,315.02596,260.74414,64216.035,6712.4228,14441.16,1184509.3,138400.4,327936.31,61104.007,7716.1967,13837.527,1390870.6,129773.34,128578.94,300768.31,175655.75,338696.14,10370864,4223507.9,8507396.7,239664.3,167939.56,324858.62,8979993.8,4093734.6,8378817.8,177.25682,58306396,382442.57,11390214,29949424,815120.21,23101769,213031.27,12.269194,26707.359,10.192694,53153.846,10.880946,0.08121254,0.07943824,0.2213636,0.21652734,0.12041828,0.11778743,0.1945241,0.14772641,0.27183898,0.23240897,0.0502904,0.11811701,0.0299221,0.12987599,0.09976464,0.07809109,0.07625033,0.1480963,651.49848,-620.30688,547.3644,-521.1584,606.80841,-577.75643,-30.825756,-25.590725,-28.464548,0.42925125,0.06336496,0.16404862,0.08624023,0.17497189,0.13566638,0.13046932,0.09724119,0.19429718,1999,1999,144,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,2581590.4,2069973.9,2015936.8,147727.28,4747811.1,305346.1,1,9
2000,RoW,AUS,35856.772,4972.1153,8450.4031,480718.31,297921.11,562668.82,10948910,4271906.4,8660365.4,35895.279,5663.0238,11439.427,1341308.2,23881182,-0.04172969,0.01425461,4641877.8,4370284.6,1.0394861,1.0005255,8.62E+09,-8.22E+09,1.0231613,1.0236361,AUSRoW,1,australia,0.582346,RestOfWorld,0.98115227,108.92248,112.7766,106.94532,294.56244,355.22989,303.27476,63614.05,6438.7831,13518.961,1288655.4,155842.88,376405.07,68194.68,7749.1899,14329.875,1642264.3,144287.78,139823.7,279944.39,173493.17,327667.94,10742548,4191390.7,8497137.2,211749.71,165743.98,313338.06,9100283.5,4047102.9,8357313.5,191.70362,60817362,365788.02,11404136,30886319,781105.49,23431076,235190.79,12.368152,26220.926,10.174313,50777.067,10.8352,0.0826617,0.07782522,0.22543118,0.21224135,0.12061347,0.11355645,0.19928343,0.15597924,0.2604705,0.20432492,0.04751152,0.10613419,0.02601253,0.11806612,0.08504595,0.07269643,0.07241112,0.13535589,661.75148,-630.3614,568.57765,-541.60725,624.67594,-595.04453,-31.026562,-26.359924,-29.050017,0.39745628,0.05602196,0.14859482,0.08068788,0.16015926,0.12625141,0.12372311,0.08787159,0.1799477,2000,2000,145,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,2533175.6,2087871.9,2000797,143583.92,4703931.9,305088.28,1,9
2001,RoW,AUS,32948.866,3863.9252,7190.0952,514033.96,313457.7,594199.3,10991053,4520765.9,9055854.2,34794.917,5028.9111,9012.1271,1421691,24567673,-0.05785015,0.00043778,4794243.7,4335317.2,1.0328242,0.99199882,8.74E+09,-8.33E+09,1.013371,1.0137032,AUSRoW,1,australia,0.517636,RestOfWorld,0.95415359,109.99627,115.29449,108.58283,330.80894,413.49263,357.02311,57806.17,5631.6906,11727.168,1251202.8,156049.11,345539.99,61926.529,6243.3656,12174.807,1588073.8,150889.91,137578.54,266082.49,162256.99,307578.95,10487153,4313505,8640675.8,204155.96,156013.62,295404.14,8899078.8,4162615.1,8503097.3,213.56081,60202726,347752.11,11393245,30695233,735918.42,23441333,223547.41,12.317379,22769.485,10.033177,43187.818,10.673314,0.08223526,0.07436334,0.22806526,0.20623383,0.12325342,0.11145505,0.2053725,0.16438427,0.26694283,0.18342085,0.04248738,0.09228096,0.02262239,0.10473032,0.07371522,0.06406713,0.06271323,0.11943662,748.34956,-713.08534,612.4397,-583.57991,705.68646,-672.43263,-34.904015,-28.25144,-32.676145,0.38275629,0.05590351,0.15061649,0.07741003,0.15964056,0.12245876,0.11947973,0.08708646,0.17815711,2001,2001,146,0.14109459,0.32814268,0.18900314,0.08851601,0.18644811,0.11307188,0.29630607,0.32656617,0.41359,0.33587757,0.0353524,0.09130939,0.0559978,0.07122874,0.09348905,0.08220797,0.05226191,0.09953654,2467225.8,2044217.5,2046128.2,147757.64,4726203.1,300028.19,1,9
